Type,Price,Quantity
Ask,97917.58000000,0.25696000
Ask,97917.59000000,0.02605000
Ask,97917.80000000,0.18397000
Ask,97918.01000000,0.00016000
Ask,97918.15000000,0.00016000
Ask,97918.68000000,0.06400000
Ask,97919.13000000,0.00006000
Ask,97919.19000000,0.00006000
Ask,97919.20000000,0.04090000
Ask,97919.36000000,0.01500000
Ask,97919.50000000,0.04090000
Ask,97919.66000000,0.19805000
Ask,97919.74000000,0.02554000
Ask,97919.78000000,0.00006000
Ask,97920.00000000,0.06012000
Ask,97920.01000000,0.14558000
Ask,97920.25000000,0.01014000
Ask,97920.40000000,0.18386000
Ask,97920.64000000,0.01000000
Ask,97920.75000000,0.01516000
Ask,97921.20000000,0.00006000
Ask,97921.54000000,0.00025000
Ask,97922.72000000,0.19360000
Ask,97922.79000000,0.04000000
Ask,97922.86000000,0.04591000
Ask,97923.00000000,0.04090000
Ask,97923.54000000,0.00011000
Ask,97924.00000000,0.03970000
Ask,97924.36000000,0.01021000
Ask,97924.40000000,0.01237000
Ask,97924.68000000,0.01021000
Ask,97925.60000000,0.04090000
Ask,97925.65000000,0.18385000
Ask,97926.37000000,0.15292000
Ask,97926.50000000,0.04090000
Ask,97926.73000000,0.00006000
Ask,97927.04000000,0.00057000
Ask,97927.21000000,0.07128000
Ask,97927.23000000,0.52080000
Ask,97927.24000000,0.51330000
Ask,97927.86000000,0.00057000
Ask,97928.00000000,0.03970000
Ask,97928.23000000,0.18385000
Ask,97928.32000000,0.00032000
Ask,97928.39000000,0.01502000
Ask,97928.69000000,0.00300000
Ask,97928.97000000,0.08000000
Ask,97929.53000000,0.00011000
Ask,97929.72000000,0.00006000
Ask,97929.95000000,0.00006000
Ask,97929.97000000,0.05110000
Ask,97930.00000000,0.04090000
Ask,97930.11000000,0.01022000
Ask,97930.46000000,0.00666000
Ask,97930.78000000,0.00065000
Ask,97930.79000000,0.14566000
Ask,97931.11000000,0.01500000
Ask,97931.16000000,0.06270000
Ask,97931.59000000,0.15409000
Ask,97931.60000000,0.49500000
Ask,97931.75000000,0.01237000
Ask,97932.00000000,0.05000000
Ask,97932.36000000,0.00011000
Ask,97932.53000000,0.07186000
Ask,97932.54000000,0.48715000
Ask,97932.55000000,0.18384000
Ask,97932.82000000,0.00600000
Ask,97932.85000000,0.00058000
Ask,97933.12000000,0.00008000
Ask,97933.32000000,0.04445000
Ask,97933.36000000,0.00066000
Ask,97933.43000000,0.51330000
Ask,97933.50000000,0.34747000
Ask,97933.73000000,0.01021000
Ask,97934.27000000,0.00006000
Ask,97934.56000000,0.07128000
Ask,97934.65000000,0.00014000
Ask,97934.89000000,0.25547000
Ask,97935.07000000,0.06000000
Ask,97935.08000000,0.04669000
Ask,97936.00000000,0.00910000
Ask,97936.11000000,0.08044000
Ask,97936.27000000,0.00011000
Ask,97937.00000000,0.04090000
Ask,97938.18000000,0.73728000
Ask,97938.19000000,0.18383000
