Type,Price,Quantity
Ask,3627.90000000,8.80460000
Ask,3627.91000000,0.00140000
Ask,3627.93000000,6.94550000
Ask,3627.98000000,4.91830000
Ask,3627.99000000,2.77890000
Ask,3628.00000000,3.97580000
Ask,3628.01000000,1.19020000
Ask,3628.02000000,4.95000000
Ask,3628.07000000,5.52010000
Ask,3628.08000000,5.52010000
Ask,3628.09000000,0.00410000
Ask,3628.12000000,0.05520000
Ask,3628.13000000,6.69420000
Ask,3628.16000000,5.52010000
Ask,3628.18000000,0.00280000
Ask,3628.19000000,11.31620000
Ask,3628.20000000,1.10400000
Ask,3628.21000000,5.92010000
Ask,3628.23000000,0.00210000
Ask,3628.26000000,0.00140000
Ask,3628.27000000,0.00600000
Ask,3628.28000000,0.00520000
Ask,3628.29000000,4.69200000
Ask,3628.30000000,25.01230000
Ask,3628.31000000,11.36230000
Ask,3628.32000000,8.56140000
Ask,3628.34000000,0.00400000
Ask,3628.35000000,0.10290000
Ask,3628.36000000,11.58200000
Ask,3628.38000000,2.24280000
Ask,3628.39000000,5.00000000
Ask,3628.40000000,3.98900000
Ask,3628.41000000,0.32860000
Ask,3628.42000000,0.28070000
Ask,3628.43000000,0.00300000
Ask,3628.45000000,23.74870000
Ask,3628.46000000,11.08550000
Ask,3628.48000000,0.01530000
Ask,3628.50000000,0.27560000
Ask,3628.51000000,4.96100000
Ask,3628.52000000,11.31620000
Ask,3628.53000000,0.45520000
Ask,3628.54000000,1.22860000
Ask,3628.55000000,0.00520000
Ask,3628.56000000,0.00190000
Ask,3628.57000000,0.02680000
Ask,3628.58000000,0.00220000
Ask,3628.59000000,18.26720000
Ask,3628.60000000,3.97460000
Ask,3628.61000000,11.79610000
Ask,3628.62000000,0.00640000
Ask,3628.63000000,8.01180000
Ask,3628.65000000,0.43820000
Ask,3628.68000000,0.01270000
Ask,3628.72000000,4.50170000
Ask,3628.73000000,1.13300000
Ask,3628.75000000,4.79470000
Ask,3628.76000000,16.27260000
Ask,3628.77000000,0.55200000
Ask,3628.78000000,0.19300000
Ask,3628.80000000,2.20810000
Ask,3628.81000000,14.91700000
Ask,3628.82000000,0.00690000
Ask,3628.83000000,6.94830000
Ask,3628.86000000,2.63490000
Ask,3628.87000000,6.90990000
Ask,3628.88000000,1.00230000
Ask,3628.89000000,1.14970000
Ask,3628.90000000,11.33910000
Ask,3628.93000000,0.00140000
Ask,3628.94000000,0.00280000
Ask,3628.95000000,7.40930000
Ask,3628.96000000,11.81130000
Ask,3628.97000000,4.50010000
Ask,3628.98000000,1.11840000
Ask,3629.00000000,1.67090000
Ask,3629.03000000,2.46470000
Ask,3629.06000000,10.26060000
Ask,3629.07000000,11.34620000
Ask,3629.08000000,1.11660000
