Type,Price,Quantity
Bid,3812.43000000,0.03370000
Bid,3812.42000000,0.07780000
Bid,3812.33000000,0.13500000
Bid,3812.29000000,0.07370000
Bid,3812.16000000,0.00760000
Bid,3811.76000000,0.00760000
Bid,3811.46000000,0.91660000
Bid,3811.00000000,0.13510000
Bid,3810.42000000,0.13500000
Bid,3808.22000000,0.91740000
Bid,3806.88000000,0.28700000
Bid,3806.87000000,1.29480000
Bid,3806.30000000,0.52460000
Bid,3804.11000000,1.44320000
Bid,3803.17000000,0.52530000
Bid,3800.64000000,2.64750000
Bid,3800.37000000,0.39400000
Bid,3792.97000000,0.00190000
Bid,3791.56000000,0.00610000
Bid,3791.21000000,0.00430000
Bid,3790.89000000,0.01000000
Bid,3787.48000000,0.02240000
Bid,3780.00000000,0.00920000
Bid,3775.00000000,0.10000000
Bid,3767.96000000,0.01010000
Bid,3766.87000000,0.06880000
Bid,3765.14000000,0.00180000
Ask,3841.29000000,0.16200000
Ask,3841.35000000,0.19190000
Ask,3841.36000000,0.16200000
Ask,3841.50000000,0.02350000
Ask,3841.51000000,0.16200000
Ask,3841.91000000,0.16200000
Ask,3842.29000000,0.07820000
Ask,3842.30000000,0.16200000
Ask,3842.59000000,0.50000000
Ask,3842.68000000,0.15210000
Ask,3842.69000000,0.40190000
Ask,3842.74000000,0.05200000
Ask,3843.14000000,0.02540000
Ask,3843.16000000,0.16200000
Ask,3843.92000000,0.02600000
Ask,3843.93000000,0.93430000
Ask,3844.33000000,0.16200000
Ask,3844.72000000,0.13450000
Ask,3844.73000000,0.14480000
Ask,3845.56000000,0.13520000
Ask,3846.52000000,0.13500000
Ask,3847.34000000,0.93450000
Ask,3847.35000000,0.56950000
Ask,3847.47000000,0.13520000
Ask,3848.74000000,0.13540000
Ask,3848.91000000,0.00250000
Ask,3849.00000000,0.00150000
Ask,3849.33000000,0.00590000
Ask,3849.85000000,0.00870000
Ask,3849.99000000,0.13530000
Ask,3850.00000000,0.55460000
Ask,3850.25000000,0.00470000
Ask,3850.84000000,0.01940000
Ask,3851.07000000,0.00250000
Ask,3851.29000000,0.13520000
Ask,3851.86000000,0.00250000
Ask,3852.41000000,0.01960000
Ask,3853.36000000,0.13470000
Ask,3853.44000000,0.00250000
Ask,3853.65000000,0.00280000
Ask,3853.72000000,0.13480000
Ask,3853.73000000,0.08160000
Ask,3854.08000000,0.00810000
Ask,3855.27000000,0.13520000
Ask,3855.92000000,0.00870000
Ask,3856.02000000,0.13510000
Ask,3856.03000000,0.51860000
Ask,3856.39000000,0.15990000
Ask,3856.47000000,0.02060000
Ask,3857.50000000,1.43090000
Ask,3857.56000000,0.13480000
Ask,3857.57000000,0.08180000
Ask,3857.86000000,0.13470000
Ask,3857.87000000,0.08180000
Ask,3859.00000000,0.00150000
Ask,3859.47000000,0.13480000
Ask,3859.48000000,0.08180000
Ask,3859.99000000,0.13450000
Ask,3860.00000000,0.27570000
Ask,3860.52000000,0.01000000
Ask,3861.39000000,0.13480000
Ask,3861.40000000,0.08170000
Ask,3861.73000000,0.00270000
Ask,3862.14000000,0.13490000
Ask,3863.31000000,0.13480000
Ask,3863.32000000,0.08170000
Ask,3865.68000000,0.13490000
Ask,3865.69000000,0.20000000
Ask,3866.34000000,0.00510000
Ask,3866.82000000,0.13470000
Ask,3866.83000000,0.08580000
Ask,3869.00000000,0.00150000
Ask,3870.69000000,0.13470000
Ask,3873.84000000,0.03710000
Ask,3874.99000000,0.00600000
Ask,3875.00000000,0.10000000
Ask,3879.18000000,2.61690000
Ask,3884.99000000,0.00430000
Ask,3885.00000000,0.00900000
Ask,3888.00000000,0.31390000
Ask,3889.00000000,0.00150000
Ask,3890.00000000,0.00770000
Ask,3893.33000000,0.00300000
Ask,3893.70000000,0.00610000
Ask,3894.52000000,0.00570000
Ask,3895.07000000,0.00830000
Ask,3899.33000000,0.00300000
Ask,3900.00000000,1.74070000
Ask,3900.83000000,0.10000000
Ask,3902.63000000,0.00560000
Ask,3905.00000000,0.20000000
Ask,3905.91000000,0.10000000
Ask,3907.48000000,0.01290000
Ask,3907.64000000,0.00990000
Ask,3908.75000000,0.00140000
Ask,3911.69000000,0.06880000
